Topic,Words
0,"one, jew, also, people, aid, time, land, arm, since, prophet, bank, new, civilian, would, turk, physician, state, may, found, area"
1,"key, message, email, copy, post, one, nsa, algorithm, encryption, know, looking, clipper, sale, do, get, use, mail, list, thanks, faq"
2,"son, apartment, article, tape, want_know, neighbor, mormon, phone, pipe, didnt_know, two, speaker, white, judge, aclu, joseph, cap, functionality, marked, parameter"
3,"use, bit, problem, window, one, get, using, also, time, help, line, could, need, make, work, system, color, application, like, mode"
4,"god, one, say, people, would, christian, may, see, think, believe, word, know, way, also, thing, mean, religion, even, jesus, church"
5,"book, space, may, also, program, two, project, research, year, data, material, earth, area, nasa, field, part, mission, technology, one, work"
6,"chip, used, anyone_know, plug, de, fax, digital, radio, vendor, one, electronics, buy, modem, selling, also, formula, bmw, would, phone, channel"
7,"result, disease, reported, water, adult, patient, study, problem, planet, used, battery, cause, age, increase, air, heat, ring, body, health, drug"
8,"one, get, problem, drive, new, also, use, need, work, window, used, system, card, like, would, mac, know, two, using, well"
9,"gateway, sperm, winnipeg, ifthe, gif, file, available_anonymous_ftp, seller, switched, contest, may, image, kuwait, adobe, trying_find, irs, program, notebook, hood, lev"
10,"would, get, like, one, think, want, dont, make, work, much, need, thing, going, know, could, people, lot, well, thats, sure"
11,"game, car, one, bike, time, get, back, well, like, got, went, see, first, way, road, goal, right, think, two, good"
12,"government, may, also, new, information, group, psalm, drug, service, discussion, patient, effect, interest, doctor, many, year, program, business, issue, effort"
13,"team, would, year, game, one, think, good, player, time, get, well, better, could, two, guy, first, way, since, still, play"
14,"steve, first, john, motorcycle, mark, moon, ship, wood, filled, vehicle, david, list, rocket, michael, six, probe, team, sun, pulled, paul"
15,"gay, british, saturn, morris, comet, would, baud, argic, batter, tied, pregnancy, ball, sometime, sex, minister, wolf, mariner, association, theapplication, front_end"
16,"printer, mar, edge, microsoft, award, pro, paper, advertising, venus, one, telephone, scope, scan, compuserve, integrated, scott, phd, pittsburgh, laser, shipping"
17,"use, file, program, system, information, user, also, available, image, using, application, may, code, software, version, data, run, need, one, used"
18,"people, would, one, right, think, state, even, government, gun, case, law, group, could, time, question, many, say, child, mean, person"
19,"said, people, one, say, israel, well, time, armenian, going, president, would, came, know, think, come, told, country, day, something, went"
